City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Pakdasht,IR,2022-02-21 16:09:00,35.4752,51.6807,51.8,42,3,13.87,clear sky
181,Rio Grande,BR,2022-02-21 16:09:01,-32.035,-52.0986,95.11,50,58,7.81,broken clouds
182,Russkiy Aktash,RU,2022-02-21 16:09:01,55.0384,52.1214,29.55,93,100,9.33,overcast clouds
183,San Patricio,US,2022-02-21 16:10:01,28.017,-97.5169,75.18,69,78,18.41,broken clouds
184,Provideniya,RU,2022-02-21 16:10:02,64.3833,-173.3,15.19,95,100,13.53,snow
185,La Palma,US,2022-02-21 16:10:03,33.8464,-118.0467,58.03,78,75,3.44,broken clouds
186,Sarakhs,IR,2022-02-21 16:10:04,36.5449,61.1577,46.38,93,100,19.62,moderate rain
187,Merauke,ID,2022-02-21 16:10:04,-8.4667,140.3333,80.26,84,100,7.14,heavy intensity rain
188,Cabo San Lucas,MX,2022-02-21 16:10:05,22.8909,-109.9124,73.71,49,20,18.41,few clouds
189,Orotukan,RU,2022-02-21 16:10:05,62.2667,151.7,-33.9,100,25,4.74,scattered clouds
190,Esperance,AU,2022-02-21 16:10:06,-33.8667,121.9,63.55,69,0,17.07,clear sky
191,Kavieng,PG,2022-02-21 16:10:06,-2.5744,150.7967,76.12,95,100,0.98,heavy intensity rain
192,Vao,NC,2022-02-21 16:10:06,-22.6667,167.4833,79.27,82,100,11.95,overcast clouds
193,Vysokogornyy,RU,2022-02-21 16:10:07,50.1167,139.15,-6.23,100,100,3.78,overcast clouds
194,Sistranda,NO,2022-02-21 16:10:07,63.7256,8.834,28.9,72,100,21.85,overcast clouds
195,Saint Anthony,US,2022-02-21 16:10:07,45.0205,-93.218,24.85,74,100,19.57,overcast clouds
196,Tazovskiy,RU,2022-02-21 16:10:08,67.4667,78.7,15.46,94,100,14.5,light snow
197,Oranjestad,AW,2022-02-21 16:08:53,12.524,-70.027,85.95,58,52,19.57,broken clouds
198,Adrar,MR,2022-02-21 16:10:08,20.5022,-10.0711,89.29,10,91,4.27,overcast clouds
199,Lasa,IT,2022-02-21 16:10:08,46.6166,10.7002,49.91,76,85,9.08,overcast clouds
200,Kushmurun,KZ,2022-02-21 16:10:09,52.4503,64.6311,21.79,95,76,8.43,broken clouds
201,Vredendal,ZA,2022-02-21 16:10:09,-31.6683,18.5012,74.21,51,0,21.07,clear sky
202,Shingu,JP,2022-02-21 16:10:09,33.7333,135.9833,38.91,63,3,8.25,clear sky
203,Wattegama,LK,2022-02-21 16:10:09,6.7989,81.4808,73.72,94,5,1.86,clear sky
204,Thoen,TH,2022-02-21 16:10:10,17.6129,99.2161,75.56,86,36,2.46,scattered clouds
