City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Cody,US,2022-02-19 17:25:36,44.5263,-109.0565,44.82,33,0,8.05
161,Saint-Augustin,CA,2022-02-19 17:22:18,51.226,-58.6502,7.48,73,46,6.4
162,Dumai,ID,2022-02-19 17:25:37,1.6833,101.45,75.47,88,74,1.59
163,Zhigansk,RU,2022-02-19 17:25:37,66.7697,123.3711,-38.25,100,43,4.56
164,Okhotsk,RU,2022-02-19 17:25:37,59.3833,143.3,-5.06,85,96,8.41
165,Marawi,PH,2022-02-19 17:25:38,7.9986,124.2928,65.64,92,99,1.61
166,Blagoyevo,RU,2022-02-19 17:25:38,63.3667,47.9167,28.81,93,100,12.24
167,Caravelas,BR,2022-02-19 17:25:38,-17.7125,-39.2481,86.74,52,61,11.41
168,Raghunathpur,IN,2022-02-19 17:25:38,23.55,86.6667,56.44,28,12,0.65
169,Kropotkin,RU,2022-02-19 17:25:16,45.4375,40.5756,39.02,94,53,7.9
170,Tondano,ID,2022-02-19 17:25:39,1.3038,124.9112,68.09,96,100,3.6
171,Saint Anthony,US,2022-02-19 17:25:40,45.0205,-93.218,11.28,58,75,10.36
172,Ahuimanu,US,2022-02-19 17:25:40,21.4447,-157.8378,67.78,92,20,5.75
173,Hami,CN,2022-02-19 17:25:40,42.8,93.45,24.12,32,0,5.28
174,Faya,SA,2022-02-19 17:25:40,18.3851,42.4509,60.91,78,20,6.29
175,Hofn,IS,2022-02-19 17:22:26,64.2539,-15.2082,25.86,60,57,12.59
176,Henties Bay,NA,2022-02-19 17:25:41,-22.116,14.2845,68.86,87,77,9.89
177,Qaqortoq,GL,2022-02-19 17:26:41,60.7167,-46.0333,14.5,71,100,7.11
178,Duvan,RU,2022-02-19 17:26:42,55.695,57.9024,19.02,86,52,9.06
179,Port Alfred,ZA,2022-02-19 17:26:42,-33.5906,26.891,78.66,73,1,1.66
180,Brandon,US,2022-02-19 17:23:26,27.9378,-82.2859,75.52,74,100,11.99
181,Catabola,AO,2022-02-19 17:26:43,-12.15,17.2833,65.59,91,70,4.56
182,Neuquen,AR,2022-02-19 17:26:43,-38.9516,-68.0591,84.09,26,0,9.22
183,Acapulco,MX,2022-02-19 17:23:26,16.8634,-99.8901,87.62,51,0,0.0
184,Hualmay,PE,2022-02-19 17:26:44,-11.0964,-77.6139,77.11,69,95,8.68
185,Domoni,KM,2022-02-19 17:26:44,-12.2569,44.5319,81.43,78,97,2.21
186,Havre-Saint-Pierre,CA,2022-02-19 17:26:44,50.2334,-63.5986,7.39,60,75,5.75
187,Yellowknife,CA,2022-02-19 17:26:44,62.456,-114.3525,-21.59,78,75,5.75
188,La Ronge,CA,2022-02-19 17:26:45,55.1001,-105.2842,-0.15,85,100,8.05
189,Ladushkin,RU,2022-02-19 17:26:45,54.5703,20.171,37.76,82,99,23.0
190,San Andres,CO,2022-02-19 17:24:12,12.5847,-81.7006,84.22,70,20,13.8
191,Lagoa,PT,2022-02-19 17:26:45,39.05,-27.9833,53.55,55,65,3.0
192,Alta,NO,2022-02-19 17:26:46,69.9689,23.2717,20.19,79,0,3.44
193,Urumqi,CN,2022-02-19 17:22:02,43.801,87.6005,2.35,85,0,2.24
194,Barrow,US,2022-02-19 17:26:46,71.2906,-156.7887,-25.58,68,0,10.36
195,Buraydah,SA,2022-02-19 17:26:46,26.326,43.975,75.65,28,74,27.42
196,Bethel,US,2022-02-19 17:26:47,41.3712,-73.414,38.48,59,100,14.97
197,Leningradskiy,RU,2022-02-19 17:26:47,69.3833,178.4167,-29.83,97,81,4.52
198,Chumikan,RU,2022-02-19 17:26:47,54.7183,135.315,2.48,85,100,2.26
199,Bathsheba,BB,2022-02-19 17:26:48,13.2167,-59.5167,84.81,58,40,20.71
200,Murray Bridge,AU,2022-02-19 17:26:48,-35.1167,139.2667,59.43,79,78,5.44
201,Wamba,NG,2022-02-19 17:26:49,8.9333,8.6,93.61,8,88,5.82
202,Bressanone,IT,2022-02-19 17:26:49,46.715,11.656,47.97,88,100,3.67
203,Mehamn,NO,2022-02-19 17:26:49,71.0357,27.8492,25.79,71,100,19.62
204,Dikson,RU,2022-02-19 17:26:50,73.5069,80.5464,12.52,92,100,15.32
205,Kodiak,US,2022-02-19 17:26:50,57.79,-152.4072,38.71,60,0,11.5
206,Dzilam Gonzalez,MX,2022-02-19 17:26:50,21.2833,-88.9333,85.62,55,5,5.35
207,Kishi,NG,2022-02-19 17:26:51,9.0833,3.85,96.12,9,65,6.22
208,Aswan,EG,2022-02-19 17:26:51,24.0934,32.907,67.3,30,0,16.11
209,Saint-Louis,SN,2022-02-19 17:26:51,16.3333,-15.0,92.84,9,1,8.75
210,Beira,MZ,2022-02-19 17:26:51,-19.8436,34.8389,82.49,74,40,13.8
211,Kamina,CD,2022-02-19 17:26:52,-8.7386,24.9906,64.63,92,72,3.94
212,Port Macquarie,AU,2022-02-19 17:26:52,-31.4333,152.9167,64.89,87,51,5.35
